Name,Reference,Description,Owner,Documents,Controls
AC-01.1 Access Control Policy And Procedures,"VA Handbook 6500, Appendix F","VA Handbook 6500, Appendix F",Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-01.1 Access Control Policy And Procedures"
AC-01.1 Access Control Policy And Procedures,VAM Access Control Policy And Procedures,VAM Access Control Policy And Procedures,Badhan S. Mandal,VAM_AC_Policy_Procedures.docx,"Survey - 3-2 Access Control, question - AC-01.1 Access Control Policy And Procedures"
AC-01.1 Access Control Policy And Procedures,VAEC AWS SSP,VAEC AWS SSP,Badhan S. Mandal,1_VAEC_AWS_SSP_25Apr2018.pdf,"Survey - 3-2 Access Control, question - AC-01.1 Access Control Policy And Procedures"
AC-01.1 Access Control Policy And Procedures,VA Directive 6330,VA Directive 6330,Badhan S. Mandal,VA Directive 6330.pdf,"Survey - 3-2 Access Control, question - AC-01.1 Access Control Policy And Procedures"
AC-01.1 Access Control Policy And Procedures,VA Handbook 6330,VA Handbook 6330,Badhan S. Mandal,VA Handbook 6330.pdf,"Survey - 3-2 Access Control, question - AC-01.1 Access Control Policy And Procedures"
AC-02.1 Account Management,Inherited from VAEC AWS,Inherited from VAEC AWS,Badhan S. Mandal,Inherited from VAEC AWS.docx,"Survey - 3-2 Access Control, question - AC-02.1 Account Management"
AC-02.1 Account Management,1_VAEC_AWS_SSP_25Apr2018,1_VAEC_AWS_SSP_25Apr2018,Badhan S. Mandal,1_VAEC_AWS_SSP_25Apr2018.pdf,"Survey - 3-2 Access Control, question - AC-02.1 Account Management"
AC-02.1 Account Management,"VA Handbook 6500, Appendix F","VA Handbook 6500, Appendix F",Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-02.1 Account Management"
AC-02.1 Account Management,VA Directive 6510,VA Directive 6510,Badhan S. Mandal,VA_6510dir16.pdf,"Survey - 3-2 Access Control, question - AC-02.1 Account Management"
AC-02.1 Account Management,VAM_AC_Policy_Procedures,VAM_AC_Policy_Procedures,Badhan S. Mandal,VAM_AC_Policy_Procedures.docx,"Survey - 3-2 Access Control, question - AC-02.1 Account Management"
AC-02.E01 Account Management | Automated System Account Management,VA_Handbook_6500 Appendix F,VA_Handbook_6500 Appendix F,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-02.E01 Account Management | Automated System Account Management"
AC-02.E01 Account Management | Automated System Account Management,1_VAEC_AWS_SSP_25Apr2018,1_VAEC_AWS_SSP_25Apr2018,Badhan S. Mandal,1_VAEC_AWS_SSP_25Apr2018.pdf,"Survey - 3-2 Access Control, question - AC-02.E01 Account Management | Automated System Account Management"
AC-02.E01 Account Management | Automated System Account Management,AC-2E01__VA_SDM_ticketing_system_acct_managemnet__evidence,AC-2E01__VA_SDM_ticketing_system_acct_managemnet__evidence,Badhan S. Mandal,AC-2E01__VA_SDM_ticketing_system_acct_managemnet__evidence.docx,"Survey - 3-2 Access Control, question - AC-02.E01 Account Management | Automated System Account Management"
AC-02.E02 Account Management | Removal Of Temporary / Emergency Accounts,VA_Handbook_6500 Appendix F,VA_Handbook_6500 Appendix F,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-02.E02 Account Management | Removal Of Temporary / Emergency Accounts"
AC-02.E02 Account Management | Removal Of Temporary / Emergency Accounts,1_VAEC_AWS_SSP_25Apr2018,1_VAEC_AWS_SSP_25Apr2018,Badhan S. Mandal,1_VAEC_AWS_SSP_25Apr2018.pdf,"Survey - 3-2 Access Control, question - AC-02.E02 Account Management | Removal Of Temporary / Emergency Accounts"
AC-02.E02 Account Management | Removal Of Temporary / Emergency Accounts,AC-2E2__VA_SDM_ticketing_system_screenshot_evidence,AC-2E2__VA_SDM_ticketing_system_screenshot_evidence,Badhan S. Mandal,AC-2E2__VA_SDM_ticketing_system_screenshot_evidence.docx,"Survey - 3-2 Access Control, question - AC-02.E02 Account Management | Removal Of Temporary / Emergency Accounts"
AC-02.E03 Account Management | Disable Inactive Accounts,AC-2.E3_Active_Directory_Inactive_User_Account_Management,AC-2.E3_Active_Directory_Inactive_User_Account_Management,Badhan S. Mandal,AC-2.E3_Active_Directory_Inactive_User_Account_Management.pdf,"Survey - 3-2 Access Control, question - AC-02.E03 Account Management | Disable Inactive Accounts"
AC-02.E03 Account Management | Disable Inactive Accounts,VA_Handbook_6500 Appendix F.,VA_Handbook_6500 Appendix F.,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-02.E03 Account Management | Disable Inactive Accounts"
AC-02.E03 Account Management | Disable Inactive Accounts,1_VAEC_AWS_SSP_25Apr2018,1_VAEC_AWS_SSP_25Apr2018,Badhan S. Mandal,1_VAEC_AWS_SSP_25Apr2018.pdf,"Survey - 3-2 Access Control, question - AC-02.E03 Account Management | Disable Inactive Accounts"
AC-02.E03 Account Management | Disable Inactive Accounts,AC-02.E03_Active_Directory_User_Account_Management_SOP_V2.1,AC-02.E03_Active_Directory_User_Account_Management_SOP_V2.1,Badhan S. Mandal,AC-02.E04_Active_Directory_User_Account_Management_SOP_V2.1.docx,"Survey - 3-2 Access Control, question - AC-02.E03 Account Management | Disable Inactive Accounts"
AC-02.E04 Account Management | Automated Audit Actions,VA_Handbook_6500 Appendix F.,VA_Handbook_6500 Appendix F.,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-02.E04 Account Management | Automated Audit Actions"
AC-02.E04 Account Management | Automated Audit Actions,AC-02.E04_SPLUNK_Ticket,AC-02.E04_SPLUNK_Ticket,Badhan S. Mandal,AC-02.E04_SPLUNK_Ticket.pdf,"Survey - 3-2 Access Control, question - AC-02.E04 Account Management | Automated Audit Actions"
AC-02.E04 Account Management | Automated Audit Actions,AC-02.E04_Active_Directory_User_Account_Management_SOP_V2.1,AC-02.E04_Active_Directory_User_Account_Management_SOP_V2.1,Badhan S. Mandal,AC-02.E04_Active_Directory_User_Account_Management_SOP_V2.1.docx,"Survey - 3-2 Access Control, question - AC-02.E04 Account Management | Automated Audit Actions"
AC-02.E05 Account Management | Inactivity Logout,"VA_Handbook_6500 Appendix F.,","VA_Handbook_6500 Appendix F.,",Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-02.E05 Account Management | Inactivity Logout"
AC-02.E05 Account Management | Inactivity Logout,1_VAEC_AWS_SSP_25Apr2018,1_VAEC_AWS_SSP_25Apr2018,Badhan S. Mandal,1_VAEC_AWS_SSP_25Apr2018.pdf,"Survey - 3-2 Access Control, question - AC-02.E05 Account Management | Inactivity Logout"
AC-02.E05 Account Management | Inactivity Logout,AC-02.E04_Active_Directory_User_Account_Management_SOP_V2.1,AC-02.E04_Active_Directory_User_Account_Management_SOP_V2.1,Badhan S. Mandal,AC-02.E04_Active_Directory_User_Account_Management_SOP_V2.1.docx,"Survey - 3-2 Access Control, question - AC-02.E05 Account Management | Inactivity Logout"
AC-02.E11 Account Management | Usage Conditions,VA_Handbook_6500 Appendix F.,VA_Handbook_6500 Appendix F.,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-02.E11 Account Management | Usage Conditions"
AC-02.E11 Account Management | Usage Conditions,1_VAEC_AWS_SSP_25Apr2018,1_VAEC_AWS_SSP_25Apr2018,Badhan S. Mandal,1_VAEC_AWS_SSP_25Apr2018.pdf,"Survey - 3-2 Access Control, question - AC-02.E11 Account Management | Usage Conditions"
AC-02.E12 Account Management | Account Monitoring / Atypical Usage,AC-02.E12_Splunk_Dashboard,AC-02.E12_Splunk_Dashboard,Badhan S. Mandal,AC-02.E12_Splunk_Dashboard.jpeg,"Survey - 3-2 Access Control, question - AC-02.E12 Account Management | Account Monitoring / Atypical Usage"
AC-02.E12 Account Management | Account Monitoring / Atypical Usage,1_VAEC_AWS_SSP_25Apr2018,1_VAEC_AWS_SSP_25Apr2018,Badhan S. Mandal,1_VAEC_AWS_SSP_25Apr2018.pdf,"Survey - 3-2 Access Control, question - AC-02.E12 Account Management | Account Monitoring / Atypical Usage"
AC-02.E12 Account Management | Account Monitoring / Atypical Usage,"VA_Handbook_6500 Appendix F.,","VA_Handbook_6500 Appendix F.,",Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-02.E12 Account Management | Account Monitoring / Atypical Usage"
AC-02.E13 Account Management | Disable Accounts For High-Risk Individuals,"VA_Handbook_6500 Appendix F.,","VA_Handbook_6500 Appendix F.,",Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-02.E13 Account Management | Disable Accounts For High-Risk Individuals"
AC-02.E13 Account Management | Disable Accounts For High-Risk Individuals,1_VAEC_AWS_SSP_25Apr2018,1_VAEC_AWS_SSP_25Apr2018,Badhan S. Mandal,1_VAEC_AWS_SSP_25Apr2018.pdf,"Survey - 3-2 Access Control, question - AC-02.E13 Account Management | Disable Accounts For High-Risk Individuals"
AC-02.E13 Account Management | Disable Accounts For High-Risk Individuals,"AC-02.E13_HR,_Supervisor_Request_to_Disable_Computer_Access (1)","AC-02.E13_HR,_Supervisor_Request_to_Disable_Computer_Access (1)",Badhan S. Mandal,"AC-02.E13_HR,_Supervisor_Request_to_Disable_Computer_Access (1).pdf","Survey - 3-2 Access Control, question - AC-02.E13 Account Management | Disable Accounts For High-Risk Individuals"
AC-03.1 Access Enforcement,VA_Handbook_6500 Appendix F.,VA_Handbook_6500 Appendix F.,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-03.1 Access Enforcement"
