mpog_concept_type_description,concept_desc,mpog_concept_type_id,mpog_concept_id
Unknown Concept,Unknown Concept,0,0
Units of Measure,MG,1,1005
Units of Measure,MG/KG,1,1006
Units of Measure,MCG,1,1010
Units of Measure,MCG/KG,1,1011
Units of Measure,MCG/ML,1,1012
Units of Measure,GM,1,1015
Units of Measure,UNIT,1,1020
Units of Measure,MICROLITER,1,1024
Units of Measure,ML,1,1025
Units of Measure,LITER,1,1026
Units of Measure,MILLIEQUIVALENTS,1,1030
Units of Measure,MILLIMOLES,1,1035
Units of Measure,MILLI-UNITS,1,1036
Units of Measure,NANOGRAM,1,1037
Units of Measure,PUFF,1,1040
Units of Measure,SPRAY,1,1041
Units of Measure,DROP,1,1045
Units of Measure,INCH,1,1050
Units of Measure,MM,1,1051
Units of Measure,CM,1,1052
Units of Measure,KIU,1,1055
Units of Measure,PARTS PER MILLION,1,1056
Units of Measure,ML/HR,1,1100
Units of Measure,L/HR,1,1101
Units of Measure,EQ/HR,1,1102
Units of Measure,MEQ/HR,1,1103
Units of Measure,MG/HR,1,1105
Units of Measure,UNITS/HR,1,1110
Units of Measure,MILLI-UNITS/HR,1,1111
Units of Measure,GM/HR,1,1115
Units of Measure,MCG/HR,1,1120
Units of Measure,MMOLE/HR,1,1130
Units of Measure,ML/MIN,1,1135
Units of Measure,L/MIN,1,1136
Units of Measure,MICROLITER/MIN,1,1137
Units of Measure,MG/MIN,1,1140
Units of Measure,UNITS/MIN,1,1145
Units of Measure,MILLI-UNITS/MIN,1,1146
Units of Measure,MCG/MIN,1,1150
Units of Measure,EQ/MIN,1,1151
Units of Measure,GM/MIN,1,1152
Units of Measure,MEQ/MIN,1,1153
Units of Measure,GM/KG/HR,1,1158
Units of Measure,MG/KG/HR,1,1200
Units of Measure,MCG/KG/HR,1,1205
Units of Measure,UNITS/KG/HR,1,1210
Units of Measure,ML/KG/HR,1,1215
Units of Measure,MG/KG/MIN,1,1220
Units of Measure,GM/KG/MIN,1,1221
Units of Measure,MCG/KG/MIN,1,1225
Units of Measure,NANOGRAM/KG/MIN,1,1226
Units of Measure,ML/KG/MIN,1,1227
Units of Measure,UNITS/KG/MIN,1,1230
Units of Measure,KIU/HR,1,1235
Units of Measure,KIU/MIN,1,1240
Units of Measure,THOUSANDS-UNITS,1,1241
Units of Measure,OTHER,1,1999
Routes of Administration,IV,2,2001
Routes of Administration,SUBCUTANEOUS,2,2002
Routes of Administration,INTRAMUSCULAR,2,2003
Routes of Administration,INTRATHECAL,2,2004
Routes of Administration,EPIDURAL,2,2005
Routes of Administration,INHALATIONAL,2,2006
Routes of Administration,LOCAL INFILTRATION,2,2007
Routes of Administration,ORAL,2,2008
Routes of Administration,NASAL,2,2009
Routes of Administration,OPHTHALMIC,2,2010
Routes of Administration,SUBLINGUAL,2,2011
Routes of Administration,RECTAL,2,2012
Routes of Administration,TOPICAL,2,2013
Routes of Administration,TRANSDERMAL,2,2014
Routes of Administration,URETHRAL,2,2015
Routes of Administration,VAGINAL,2,2016
Routes of Administration,BUCCAL,2,2017
Routes of Administration,INTRAPERITONEAL,2,2018
Routes of Administration,PERINEURAL,2,2019
Routes of Administration,BIER BLOCK,2,2020
Routes of Administration,INTRAARTERIAL,2,2021
Routes of Administration,INTRAOSSEOUS,2,2022
Routes of Administration,ENTERIC TUBE,2,2023
Routes of Administration,ENDOTRACHEAL,2,2024
Routes of Administration,INTRAARTICULAR,2,2025
Routes of Administration,CAUDAL,2,2026
Routes of Administration,INTRADERMAL,2,2027
Routes of Administration,SUBMUCOSAL,2,2028
Routes of Administration,TRANSTRACHEAL,2,2029
Routes of Administration,INTRACARDIAC,2,2030
Routes of Administration,INTERFASCIAL,2,2031
Routes of Administration,OTHER - NOT LISTED,2,2997
Routes of Administration,OTHER - NOT SPECIFIED,2,2998
Routes of Administration,OTHER,2,2999
Physiologic Observations,EKG Pulse Rate,3,3005
Physiologic Observations,SpO2 Pulse Rate,3,3010
Physiologic Observations,BP Sys Invasive Unspecified Site 1,3,3011
Physiologic Observations,BP Dias Invasive Unspecified Site 1,3,3012
Physiologic Observations,BP Mean Invasive Unspecified Site 1,3,3013
Physiologic Observations,BP Sys Non-invasive,3,3015
Physiologic Observations,BP Dias Non-invasive,3,3020
Physiologic Observations,BP Mean Non-invasive,3,3025
Physiologic Observations,BP Sys Invasive Unspecified Site 4,3,3026
Physiologic Observations,BP Dias Invasive Unspecified Site 4,3,3027
Physiologic Observations,BP Mean Invasive Unspecified Site 4,3,3028
Physiologic Observations,"BP Sys Arterial Line (Invasive, Peripheral)",3,3030
Physiologic Observations,"BP Dias Arterial Line (Invasive, Peripheral)",3,3035
Physiologic Observations,"BP Mean Arterial Line (Invasive, Peripheral)",3,3040
Physiologic Observations,BP Sys Invasive Unspecified Site 2,3,3041
Physiologic Observations,BP Dias Invasive Unspecified Site 2,3,3042
Physiologic Observations,BP Mean Invasive Unspecified Site 2,3,3043
Physiologic Observations,SpO2 %,3,3045
Physiologic Observations,BP Sys Invasive Unspecified Site 3,3,3046
Physiologic Observations,BP Dias Invasive Unspecified Site 3,3,3047
Physiologic Observations,BP Mean Invasive Unspecified Site 3,3,3048
Physiologic Observations,Temp 1 - Unspecified Site,3,3050
Physiologic Observations,Temp 2 - Unspecified Site,3,3051
Physiologic Observations,Temp 1 - Monitoring Site,3,3052
Physiologic Observations,Temp 2 - Monitoring Site,3,3053
Physiologic Observations,Temperature - Skin,3,3054
Physiologic Observations,Temperature - Esophageal,3,3055
Physiologic Observations,Temperature - Blood,3,3056
Physiologic Observations,Temperature - Tympanic,3,3057
Physiologic Observations,Temperature - Bladder,3,3058
Physiologic Observations,Temperature - Nasopharyngeal,3,3059
Physiologic Observations,Temperature - Axillary,3,3060
Physiologic Observations,Temperature - Rectal,3,3061
Physiologic Observations,Temperature - Myocardial,3,3062
Physiologic Observations,BP Sys Aorta,3,3065
Physiologic Observations,BP Dias Aorta,3,3070
Physiologic Observations,BP Mean Aorta,3,3075
Physiologic Observations,Central Venous Pressure,3,3080
Physiologic Observations,Cardiac output - thermodilution,3,3085
Physiologic Observations,Cardiac index - thermodilution,3,3090
Physiologic Observations,Cardiac output - continuous,3,3095
Physiologic Observations,Cardiac index - continuous,3,3100
Physiologic Observations,Cardiac Ouput - Non-Invasive,3,3102
Physiologic Observations,Cardiac index - Non-Invasive,3,3103
Physiologic Observations,SvO2 %,3,3105
Physiologic Observations,Systemic Vascular Resistance,3,3110
Physiologic Observations,Pulmonary artery occlusion pressure,3,3115
Physiologic Observations,Pulmonary artery pressure Sys,3,3120
Physiologic Observations,Pulmonary artery pressure Dias,3,3125
Physiologic Observations,Pulmonary artery pressure Mean,3,3130
Physiologic Observations,Left Atrial Pressure (Mean),3,3135
Physiologic Observations,Right atrial pressure,3,3136
Physiologic Observations,Right Ventricular Pressure - Sys,3,3137
Physiologic Observations,Right Ventricular Pressure - Dias,3,3138
Physiologic Observations,Right Ventricular Pressure - Mean,3,3139
Physiologic Observations,ICP pressure mean,3,3140
Physiologic Observations,Cerebral Perfusion Pressure,3,3141
Physiologic Observations,ST Lead I,3,3145
Physiologic Observations,ST Lead II,3,3150
Physiologic Observations,ST Lead III,3,3155
Physiologic Observations,ST aVF,3,3160
Physiologic Observations,ST aVL,3,3165
Physiologic Observations,ST aVR,3,3170
Physiologic Observations,ST Lead V1,3,3175
Physiologic Observations,Respiratory Rate by EKG Bioimpedence,3,3180
Physiologic Observations,Ventilator Mode,3,3182
Physiologic Observations,Peak inspiratory pressure,3,3185
Physiologic Observations,Plateau Inspiratory Pressure,3,3186
Physiologic Observations,Mean Inspiratory Pressure,3,3187
Physiologic Observations,Tidal Volume actual,3,3190
Physiologic Observations,Tidal Volume Set,3,3192
Physiologic Observations,Ventilator Respiratory Rate Actual,3,3195
Physiologic Observations,Ventilator Respiratory Rate Set,3,3198
Physiologic Observations,Ventilator I:E Ratio,3,3199
Physiologic Observations,Ventilator FiO2 % Measured,3,3200
Physiologic Observations,Ventilator FiO2 % Set,3,3202
Physiologic Observations,Minute ventilation,3,3205
Physiologic Observations,Positive End Expiratory Pressure - Measured,3,3210
Physiologic Observations,Positive End Expiratory Pressure - Set,3,3212
Physiologic Observations,Ventilator Pulmonary Compliance,3,3213
Physiologic Observations,Fresh Gas Flow Total,3,3214
Physiologic Observations,Flows O2,3,3215
Physiologic Observations,Flows Air,3,3220
Physiologic Observations,Flows Nitrous Oxide,3,3225
Physiologic Observations,Respiratory Rate Actual from EtCO2 tracing,3,3230
Physiologic Observations,Inspired CO2 %,3,3233
Physiologic Observations,Inspired CO2 (mmHg),3,3234
Physiologic Observations,End Tidal CO2 (mmHg),3,3235
Physiologic Observations,End Tidal CO2 %,3,3236
Physiologic Observations,Inspired Nitrogen %,3,3238
Physiologic Observations,Expired Nitrogen %,3,3239
Physiologic Observations,Oxygen Insp %,3,3240
Physiologic Observations,Oxygen Exp %,3,3245
Physiologic Observations,Nitrous Insp  %,3,3250
Physiologic Observations,Nitrous Exp  %,3,3255
Physiologic Observations,Isoflurane Exp %,3,3260
Physiologic Observations,Isoflurane Insp  %,3,3265
Physiologic Observations,Sevoflurane Exp %,3,3270
Physiologic Observations,Sevoflurane Insp %,3,3275
Physiologic Observations,Desflurane Exp %,3,3280
Physiologic Observations,Desflurane Insp %,3,3285
Physiologic Observations,Halothane Exp %,3,3290
Physiologic Observations,Halothane Insp %,3,3295
Physiologic Observations,Enflurane Exp %,3,3297
Physiologic Observations,Enflurane Insp %,3,3298
Physiologic Observations,Miscellaneous Volatile Agent Insp %,3,3299
Physiologic Observations,Miscellaneous Volatile Agent Exp %,3,3300
Physiologic Observations,Nitric Oxide Inhaled (ppm),3,3301
Physiologic Observations,rSO2 Index - Left Somatic,3,3304
Physiologic Observations,rSO2 Index - Right Somatic,3,3305
Physiologic Observations,rSO2 Index - Left Cerebral,3,3306
Physiologic Observations,rSO2 Index - Right Cerebral,3,3307
Physiologic Observations,BIS - Overall Trend,3,3310
Physiologic Observations,BIS - Quality Index,3,3311
Physiologic Observations,"Processed EEG Trend (unspecified device, PSI or BIS or Entropy)",3,3312
Physiologic Observations,BIS - EMG,3,3313
Physiologic Observations,Entropy (State Entropy),3,3315
Physiologic Observations,Entropy (Response Entropy),3,3316
Physiologic Observations,Fetal Heart Rate (C),3,3319
Physiologic Observations,Fetal Heart Rate (A),3,3320
Physiologic Observations,Fetal Heart Rate (B),3,3321
Physiologic Observations,Tocodynamometry,3,3322
Physiologic Observations,Intrauterine Pressure,3,3323
Physiologic Observations,Train-of-four (subjective assessment),3,3330
Physiologic Observations,Acceleromyography - DO NOT USE,3,3335
Physiologic Observations,Cardiac Rhythm,3,3340
Physiologic Observations,Eyes checked,3,3345
Physiologic Observations,Systolic Pressure Variation,3,3350
Physiologic Observations,PVI %,3,3355
Physiologic Observations,Barometric Pressure,3,3470
Physiologic Observations,BP Sys Invasive Unspecified Site 5,3,3475
Physiologic Observations,BP Dias Invasive Unspecified Site 5,3,3476
Physiologic Observations,BP Mean Invasive Unspecified Site 5,3,3477
Physiologic Observations,Patient State Index - Overall Trend,3,3480
Physiologic Observations,Patient State Index - Suppression Ratio Trend,3,3481
Physiologic Observations,Patient State Index - EMG Trend,3,3482
Physiologic Observations,Train-of-four ratio (acceleromyography),3,3485
Physiologic Observations,Train-of-four twitch value 1 (acceleromyograpy),3,3486
Physiologic Observations,Train-of-four twitch value 2 (acceleromyograpy),3,3487
Physiologic Observations,Train-of-four twitch value 3 (acceleromyograpy),3,3488
Physiologic Observations,Train-of-four twitch value 4 (acceleromyograpy),3,3489
Physiologic Observations,Miscellaneous Perfusionist Parameter,3,3490
Physiologic Observations,LVAD Flow (L/min),3,3491
Physiologic Observations,Miscellaneous Primary Volatile Agent Name,3,3492
Physiologic Observations,Miscellaneous Secondary Volatile Agent Name,3,3493
Physiologic Observations,Sevoflurane (mmHg),3,3503
Physiologic Observations,Ventilator Respiratory Rate Limit,3,3513
Physiologic Observations,Ventilator Respiratory Rate Setting,3,3523
Physiologic Observations,Temperature Route,3,3533
Physiologic Observations,Ventilator - Pressure Support,3,3543
Physiologic Observations,Ventilator - Pressure Control,3,3553
Physiologic Observations,Ventilator - Inspiratory Time,3,3563
Races and Ethnicities,Unknown Race,4,4000
Races and Ethnicities,"Hispanic, White",4,4001
Races and Ethnicities,"Hispanic, Black",4,4002
Races and Ethnicities,"Hispanic, Color Unknown",4,4003
Races and Ethnicities,"Black, not of Hispanic Origin",4,4004
Races and Ethnicities,"White, not of Hispanic Origin",4,4005
Races and Ethnicities,American Indian or Alaska Native,4,4006
Races and Ethnicities,Asian or Pacific Islander,4,4007
Races and Ethnicities,Bi or Multi Racial,4,4008
Races and Ethnicities,Middle Eastern,4,4009
Races and Ethnicities,Other Race Not Listed,4,4050
Laboratory or Testing Observations,POC - Activated clotting time,5,3360
Laboratory or Testing Observations,POC - Glucose (Fingerstick),5,3361
Laboratory or Testing Observations,POC - Glucose (Unspecified source),5,3362
Laboratory or Testing Observations,POC - Blood gas - sample type,5,3365
Laboratory or Testing Observations,POC - Blood gas - pH (unknown sample type),5,3370
Laboratory or Testing Observations,POC - Blood gas - pCO2 (unknown sample type),5,3375
Laboratory or Testing Observations,POC - Blood gas - pO2 (unknown sample type),5,3380
Laboratory or Testing Observations,POC - Blood gas - Sodium,5,3385
Laboratory or Testing Observations,POC - Blood gas - Potassium,5,3390
Laboratory or Testing Observations,POC - Blood gas - Ionized Calcium,5,3395
Laboratory or Testing Observations,POC - Blood gas - Cl,5,3400
Laboratory or Testing Observations,POC - Blood gas - Glucose,5,3405
Laboratory or Testing Observations,POC - Blood gas - Lactate (unknown sample type),5,3410
Laboratory or Testing Observations,POC - Blood gas - Hct measured,5,3415
Laboratory or Testing Observations,POC - Blood gas - O2 sat measured (unknown sample type),5,3420
Laboratory or Testing Observations,POC - Blood gas - Base Excess,5,3425
Laboratory or Testing Observations,POC - Blood gas - HCO3,5,3430
Laboratory or Testing Observations,POC - hematocrit spun,5,3435
Laboratory or Testing Observations,POC - Coulter counter - Hemoglobin,5,3440
Laboratory or Testing Observations,POC - Coulter counter - Platelets,5,3445
Laboratory or Testing Observations,POC - Coulter counter - Hematocrit,5,3450
Laboratory or Testing Observations,POC - Prothrombin Time,5,3455
Laboratory or Testing Observations,POC -  International Normalized Ratio,5,3460
Laboratory or Testing Observations,POC -  Partial Thromboplastin Time,5,3465
Laboratory or Testing Observations,"Formal lab - Potasium, Serum",5,5001
Laboratory or Testing Observations,"Formal lab - Creatinine, Serum",5,5002
Laboratory or Testing Observations,"Formal lab - Glucose, Serum",5,5003
Laboratory or Testing Observations,Formal lab - Platelets,5,5004
Laboratory or Testing Observations,Formal lab - Hemoglobin,5,5005
Laboratory or Testing Observations,Formal lab - Hematocrit,5,5006
Laboratory or Testing Observations,Formal lab - Prothrombin time,5,5007
Laboratory or Testing Observations,Formal lab - International Normalized Ratio,5,5008
Laboratory or Testing Observations,Formal lab - Partial Thromboplastin Time,5,5009
Laboratory or Testing Observations,"Formal lab - Magnesium, Serum",5,5010
Laboratory or Testing Observations,Formal lab - Troponin,5,5011
Laboratory or Testing Observations,"Formal lab - Blood Urea Nitrogen, Serum",5,5012
Laboratory or Testing Observations,Formal lab - Fibrinogen,5,5013
Laboratory or Testing Observations,"Formal lab - Bilirubin Total, Serum",5,5014
Laboratory or Testing Observations,"Formal lab - Bilirubin Unconjugated, Serum",5,5015
Laboratory or Testing Observations,"Formal lab - Bilirubin Conjugated, Serum",5,5016
Laboratory or Testing Observations,Formal lab - Thyroid Stimulating Hormone,5,5017
Laboratory or Testing Observations,"Formal lab - Lactate, Serum",5,5018
Laboratory or Testing Observations,POC - Parathyroid hormone,5,5019
Laboratory or Testing Observations,POC - Blood gas - pCO2 (arterial),5,5020
Laboratory or Testing Observations,POC - Blood gas - pO2 (arterial),5,5021
Laboratory or Testing Observations,POC - Blood gas - pH (arterial),5,5022
Laboratory or Testing Observations,POC - Blood gas - pCO2 (venous),5,5023
Laboratory or Testing Observations,POC - Blood gas - pO2 (venous),5,5024
Laboratory or Testing Observations,POC - Blood gas - pH (venous),5,5025
Laboratory or Testing Observations,"Formal lab - Glycosylated Hemoglobin, Serum",5,5026
Laboratory or Testing Observations,"Formal lab - Sodium, Serum",5,5027
Laboratory or Testing Observations,"Formal lab - Ionized Calcium, Serum",5,5028
Laboratory or Testing Observations,"Formal lab - CO2, Serum",5,5029
Laboratory or Testing Observations,"Formal lab - Chloride, Serum",5,5030
Laboratory or Testing Observations,"Formal lab - AST (SGOT), Serum",5,5031
Laboratory or Testing Observations,"Formal lab - ALT (SGPT), Serum",5,5032
Laboratory or Testing Observations,"Formal lab - Alkaline Phosphatase, Serum",5,5033
Laboratory or Testing Observations,Formal lab - Blood gas - Base Excess (unknown sample type),5,5034
Laboratory or Testing Observations,Formal lab - Blood gas - Chloride,5,5035
Laboratory or Testing Observations,Formal lab - Blood gas - Glucose,5,5036
Laboratory or Testing Observations,Formal lab - Blood gas - HCO3,5,5037
Laboratory or Testing Observations,Formal lab - Blood gas - Hct measured,5,5038
Laboratory or Testing Observations,Formal lab - Blood gas - Ionized Calcium,5,5039
Laboratory or Testing Observations,Formal lab - Blood gas - Lactate (unknown sample type),5,5040
Laboratory or Testing Observations,Formal lab - Blood gas - O2 sat measured (unknown sample type),5,5041
Laboratory or Testing Observations,Formal lab - Blood gas - pCO2 (arterial),5,5042
Laboratory or Testing Observations,Formal lab - Blood gas - pCO2 (unknown sample type),5,5043
Laboratory or Testing Observations,Formal lab - Blood gas - pCO2 (venous),5,5044
Laboratory or Testing Observations,Formal lab - Blood gas - pH (arterial),5,5045
Laboratory or Testing Observations,Formal lab - Blood gas - pH (unknown sample type),5,5046
Laboratory or Testing Observations,Formal lab - Blood gas - pH (venous),5,5047
Laboratory or Testing Observations,Formal lab - Blood gas - pO2 (arterial),5,5048
Laboratory or Testing Observations,Formal lab - Blood gas - pO2 (unknown sample type),5,5049
Laboratory or Testing Observations,Formal lab - Blood gas - pO2 (venous),5,5050
Laboratory or Testing Observations,Formal lab - Blood gas - Potassium,5,5051
Laboratory or Testing Observations,Formal lab - Blood gas - sample type,5,5052
Laboratory or Testing Observations,Formal lab - Blood gas - Sodium,5,5053
Laboratory or Testing Observations,"Formal lab - Amylase, Serum",5,5054
