#,Name,Location,Type,TypeExt,Index,Description
0.01,patient(+),0;1,POINTER,,B,This is the name of the patient.
0.011,in/out-patient status,0;12,SET OF CODES,,,"NSQIP Definition (2004): This field contains the patient's hospital admission status at the time of surgery. Enter the letter ""I"" if the patient is an inpatient or the letter ""O"" if he or she was an outpatient. Please follow your hospital's definition of inpatient and outpatient status."
0.015,visit,0;15,POINTER,,AV,This is the visit associated with this case.
0.0155,classification entered (y/n),0;20,BOOLEAN,,,"This field indicates whether or not classification items have been addressed. This field is used by the software to decide whether to allow the user a choice to update classification information. If the field is NO or null, it will not permit a choice if the site parameter to enter classification information is turned on."
0.016,service connected,0;16,BOOLEAN,,,This field will be used to indicate if this surgery or non-OR procedure is treating a VA patient for a service connected problem. This information may be passed to the VISIT file (#9000010) for use by PCE.
0.017,agent orange exposure,0;17,BOOLEAN,,,This field will be used to indicate if this surgery or non-OR procedure is treating a VA patient for a problem that is related to Agent Orange Exposure. This information may be passed to the VISIT file (#9000010) for use by PCE.
0.018,ionizing radiation exposure,0;18,BOOLEAN,,,This field will be used to indicate if this surgery or non-OR procedure is treating a VA patient for a problem that is related to Ionizing Radiation Exposure. This information may be passed to the VISIT file (#9000010) for use by PCE.
0.019,environmental contaminants,0;19,BOOLEAN,,,This field will be used to indicate if this surgery or non-OR procedure is treating a VA patient for a problem related to environmental contaminant exposure. This information may be passed to the VISIT file (#9000010) for use by PCE.
0.02,operating room,0;2,POINTER,,,This is the name of the operating room where the principal operation is performed for this patient. It can be selected by entering the name or abbreviation of the operating room.
0.021,associated clinic,0;21,POINTER,,,This is the clinic associated with this surgical case or non-OR procedure. The entry made in this field will be used as the location of the encounter for PCE.
0.022,military sexual trauma,0;22,BOOLEAN,,,This field will be used to indicate if this surgery or non-OR procedure is treating a VA patient for a problem that is related to Military Sexual Trauma. This information may be passed to the VISIT file (#9000010) for use by PCE.
0.023,head and/or neck cancer,0;23,BOOLEAN,,,This field will be used to indicate if this surgery or non-OR procedure is treating a VA patient for a problem that is related to Head and/or Neck Cancer. This information may be passed to the VISIT file (#9000010) for use by PCE.
0.024,combat vet,0;24,BOOLEAN,,,This field will be used to indicate if this surgery or non-OR procedure is treating a VA patient for a problem that is related to Combat. This information may be passed to the VISIT file (#9000010) for use by PCE.
0.026,proj 112/shad,0;25,BOOLEAN,,,This field will be used to indicate if this surgery or non-OR procedure is treating a VA patient for a problem that is related to PROJ 112/SHAD. This information may be passed to the VISIT file (#9000010) for use by PCE.
0.03,major/minor,0;3,SET OF CODES,,,"NSQIP Definition (2004): Major - Any operation performed under general, spinal, or epidural anesthesia plus all inguinal herniorrhaphies, carotid endarterectomies, parathyroidectomies, thyroidectomies, breast lumpectomies, or endovascular AAA repairs regardless of anesthesia administered. Minor - All operations not designated as Major."
0.035,case schedule type,0;10,SET OF CODES,,,This is the code describing how this case was scheduled. It is important that this field is entered. The Scheduler may use this field when updating the schedule due to cancellations or insertions. NSQIP Definition of Emergency Case (2004): An emergency case is usually performed as soon as possible and no later than 12 hours after the patient has been admitted to the hospital or after the onset of related preoperative symptomatology. Answer EMERGENCY if the surgeon and anesthesiologist report the case as emergent
0.037,case schedule order,0;11,FREE TEXT,,,"This is the sequence in which the surgeon expects to do the case if he or she has more than one case scheduled for this day. This field is optional, but is very useful to the person scheduling cases if the surgeon has more than one case."
0.04,surgery specialty(+),0;4,POINTER,,,"NSQIP Definition (2004): This is the surgical specialty credited for doing this operative procedure. Many reports, including the Annual Report of Surgical Procedures, are sorted by the surgical specialty. This field should be entered prior to completion of this case. (If you enter '?' in the surgical package, it will display the entire local surgical specialty list and a copy of the national list can be found in Appendix I of the Operations Manual)"
0.05,req clean or contaminated,0;5,SET OF CODES,,,This is the description of the wound class for the case. The code entered is used when scheduling the operating room for this procedure.
0.07,preop skin integ,0;7,POINTER,,,This is the preoperative assessment of the patient's skin integrity upon arrival to the operating room. The information entered will appear on the Nurse Intraoperative Report.
0.08,preop skin color,0;8,SET OF CODES,,,"This is the code corresponding to the preoperative assessment of the patient's skin color upon arrival to the operating room. If entered, this information will appear on the Nurse Intraoperative Report."
0.09,date of operation(+),0;9,DATE-TIME,,,This is the date that the case was performed. The date of operation must be entered for all cases.
0.11,trans to or by,.1;1,POINTER,,,"This is the method or device used to deliver the patient to the operating room. This field is optional, but may be useful for documentation of the case."
0.111,or circ support,19;0,MULTIPLE,,,This is information about the nurses with circulating role responsibilities.
0.112,or scrub support,23;0,MULTIPLE,,,This is information about the person with scrub role responsibilities.
0.12,preop hair clipping by,.1;2,POINTER,,,This is the person responsible for clipping the patient's hair in preparation for the operative procedure (if necessary).
0.13,restr & position aids,20;0,MULTIPLE,,,This is information related to restraints and positioning aids used during this operative procedure.
0.14,surgeon(+),.1;4,POINTER,,,This is the name of the person performing the major portion of the principal operative procedure. This field is required as part of the Operation Report. This field may be restricted by locally determined keys so that only people with the appropriate keys can be entered.
0.15,first asst,.1;5,POINTER,,,This is the name of the person assisting the surgeon during the operative procedure. The information entered here appears on the Operation Report and Nurse Intraoperative Report.
0.16,second asst,.1;6,POINTER,,,"This is the name of the second person assisting the surgeon during the operative procedure. If entered, this information appears on the Operation Report and Nurse Intraoperative Report."
