FILE NUMBER,FIELD,TYPE,GLOBAL REFERENCE,SET,KILL,Valid,Set,Read,Kill,Comments
50,0.01,MUMPS,"^PSDRUG(""AUDAP""","I '$D(PSGINITF) S ^PSDRUG(""AUDAP"")=$S($D(^PS(59.7,1,20)):$P(^(20),""^""),1:"""")",,1,,,,"Not a standard FileMan cross-reference

This is used by the post-init process of the Unit Dose/Inpatient Medication packages' inits.  If this is not set, the post-init process will mark every entry for use with Inpatient Medications package through the APPLICATION PACKAGES' USE field.  In the form of: ^PSDRUG(""AUDAP"")"
50,0.01,MUMPS,"^PSDRUG(""AIU""_value","I $D(X),$P($G(^PSDRUG(DA,2)),""^"",3)]"""" F Y(2)=1:1:$L($P(^PSDRUG(DA,2),""^"",3)) S ^PSDRUG(""AIU""_$E($P(^PSDRUG(DA,2),""^"",3),Y(2)),X,DA)=""""","I $D(X),$P($G(^PSDRUG(DA,2)),""^"",3)]"""" F Y(2)=1:1:$L($P(^PSDRUG(DA,2),""^"",3)) K ^PSDRUG(""AIU""_$E($P(^PSDRUG(DA,2),""^"",3),Y(2)),X,DA)",1,,,,"Not a standard FileMan cross-reference

This xref is used to update the 'AIU' xref.  This xref is used to keep the AIU xref in sync when the drug name is edited."
50,2.1,MUMPS,"^PS(50.7,""A50"",
^PS(52.6,""AOI"",","D SET1^PSSPOID1

S ^PS(50.7,""A50"",X,DA)=""""
S PSSCROSS=1 N PSPOINT,PSSZA,PSSZS,PSSTEST
S PSSTEST=X D HOLD D EN1^PSSPOIDT D UNHOLD
F PSSZA=0:0 S PSSZA=$O(^PS(52.6,""AC"",DA,PSSZA)) Q:'PSSZA  D
.S $P(^PS(52.6,PSSZA,0),""^"",11)=X,^PS(52.6,""AOI"",X,PSSZA)=""""
F PSSZS=0:0 S PSSZS=$O(^PS(52.7,""AC"",DA,PSSZS)) Q:'PSSZS  D
.S $P(^PS(52.7,PSSZS,0),""^"",11)=X,^PS(52.7,""AOI"",X,PSSZS)=""""
K PSSCROSS","D KILL1^PSSPOID1

K ^PS(50.7,""A50"",X,DA)
S PSSCROSS=1 N PSPOINT,PSSZA,PSSZS,PSSZOI,PSSTEST
S PSSTEST=X D HOLD D EN1^PSSPOIDT D UNHOLD
F PSSZA=0:0 S PSSZA=$O(^PS(52.6,""AC"",DA,PSSZA)) Q:'PSSZA  D
.S PSSZOI=$P($G(^PS(52.6,PSSZA,0)),""^"",11)
.I PSSZOI S $P(^PS(52.6,PSSZA,0),""^"",11)="""" K ^PS(52.6,""AOI"",PSSZOI,PSSZA)
F PSSZS=0:0 S PSSZS=$O(^PS(52.7,""AC"",DA,PSSZS)) Q:'PSSZS  D
.S PSSZOI=$P($G(^PS(52.7,PSSZS,0)),""^"",11)
.I PSSZOI S $P(^PS(52.7,PSSZS,0),""^"",11)="""" K ^PS(52.7,""AOI"",PSSZOI,PSSZS)
K PSSCROSS",1,,,,Sets data and multiple cross-references across files
50,3,MUMPS,,"I '$D(DIU(0)) N PSSTEST S PSSTEST=$P($G(^PSDRUG(DA,2)),""^"") Q:'PSSTEST  S PSSCROSS=1 D EN1^PSSPOIDT K PSSCROSS Q","I '$D(DIU(0)) N PSSTEST S PSSTEST=$P($G(^PSDRUG(DA,2)),""^"") Q:'PSSTEST  S PSSCROSS=1 D EN1^PSSPOIDT K PSSCROSS Q",1,,,,Sets data
50,17.5,MUMPS,,,"K ^PSDRUG(""ACLOZ"",DA)",1,,,,
50,20,MUMPS,"^PSDRUG(""APN"",","S X(1)=$P($G(^PSDRUG(DA,2)),""^"",6) I X(1) S X(2)=$P($G(^(""ND"")),""^"",3) I X(2)]"""" S ^PSDRUG(""APN"",X(1),X_""A""_X(2),DA)=""""","S X(1)=$P($G(^PSDRUG(DA,2)),""^"",6) I X(1) S X(2)=$P($G(^(""ND"")),""^"",3) I X(2)]"""" K ^PSDRUG(""APN"",X(1),X_""A""_X(2),DA)",1,,,,
50,22,MUMPS,"^PSDRUG(""APN"",","S X(1)=$P($G(^PSDRUG(DA,2)),""^"",6) I X(1) S X(2)=$P($G(^(""ND"")),""^"") I X(2)]"""" S ^PSDRUG(""APN"",X(1),X(2)_""A""_X,DA)=""""","S X(1)=$P($G(^PSDRUG(DA,2)),""^"",6) I X(1) S X(2)=$P($G(^(""ND"")),""^"") I X(2)]"""" K ^PSDRUG(""APN"",X(1),X(2)_""A""_X,DA)",1,,,,
50,28,MUMPS,"^PSDRUG(""AQ2"",","S:X=1 ^PSDRUG(""AQ2"",DA)=""""","K ^PSDRUG(""AQ2"",DA)",1,,,,
50,31,MUMPS,"^PSDRUG(""NDC"",","S ^PSDRUG(""NDC"",$$RJ^XLFSTR($P(X,""-""),6,0)_$$RJ^XLFSTR($P(X,""-"",2),4,0)_$$RJ^XLFSTR($P(X,""-"",3),2,0),DA)=""""","K ^PSDRUG(""NDC"",$$RJ^XLFSTR($P(X,""-""),6,0)_$$RJ^XLFSTR($P(X,""-"",2),4,0)_$$RJ^XLFSTR($P(X,""-"",3),2,0),DA)",1,,,,
50,51,MUMPS,"^PS(50.7,","I '$D(DIU(0)) N PSSTEST S PSSTEST=$P($G(^PSDRUG(DA,2)),""^"") Q:'PSSTEST  S PSSCROSS=1 D EN1^PSSPOIDT K PSSCROSS Q","I '$D(DIU(0)) N PSSTEST S PSSTEST=$P($G(^PSDRUG(DA,2)),""^"") Q:'PSSTEST  S PSSCROSS=1 D EN1^PSSPOIDT K PSSCROSS Q",1,,,,
