accession,^VPRDLRA,,"Lab Data file #63; Chem, Hem, etc. subfile #63.04",
Element,VistA data type/values,VistA examples,field name (no.),subfile or pointed-to-file: field name (no.)
collected,date.time,3040609.1245,Date/Time Specimen Taken (#.01),
comment,string,call Dr.,Comment (#.99),
document [m],[P:8925] id ^ localTitle ^ nationalTitle,23567^LR CYTOPATHOLOGY REPORT^LABORATORY NOTE,n/a [microbiology and pathology only],
",content",text,body of report text,n/a [microbiology and pathology only],
facility,string [station# ^ name],660^SALT LAKE HCS,Accessioning Institution (#.112),
groupName,string [accession number],CH 09 12,Accession (#.06),
id,string,CH;6959389.875453,global subscripts,
name,string [P:68 name],CHEMISTRY,Accession (#.06),
resulted,date.time,3040609.1432,Date Report Completed (#.03),
sample,string [P:62 name],BLOOD,Specimen Type (#.05),Collection Sample (#4.1)
specimen,string [P:61] code ^ name,0X500^SERUM,Specimen Type (#.05),"SNOMED Code (#2), Name (#.01)"
status,string,completed,Date Report Completed (#.03),
type,"string [CH, MI, CY, EM, SP, AU, BB]",CH,global subscript,
value [m],id^test^result^interpretation^units^low^high^loinc^vuid^order,CH;6959389.875453;2^SODIUM^138^L*^meq/L^135^145^2951-2^4656526^24689,,
  id,string,CH;6959389.875453;2,internal entry number string,
  interpretation,"H or L, and optionally ""*"" if critical",L*,test name node,
  loinc,string [LOINC = P:95.3 - check digit],2951-2,test name node,"95.3: Code (#.01), Check Digit (#15)"
  result,string,3.8,test name node,
  vuid,number,4656526,test name node,95.3: VUID (#99.99)
,,,,
,,,Lab Test file #60,
  high,string,145,Site/Specimen (#100),Reference High (#2)
  low,string,135,Site/Specimen (#100),Reference Low (#1)
  test,string [P:60 name],SODIUM,Name (#.01),
  units,string,meq/L,Site/Specimen (#100),Units (#6)
,,,,
,,,Lab Order Entry file #69,
labOrderID,number,1732,Specimen # (#1),Order # (#9.5)
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
