procedure,^VPRDMC,,CP Transaction file #702,
Attribute,VistA data type/values,VistA examples,field name (no.),pointed-to-file: field name (no.)
category,string,CP,,
consult,P:123,607,Consult Number (#.05),
dateTime,date performed,3050203.1347,Created Date/Time (#.02),8925: Reference Date (#1301)
document [m],[P:8925] id ^ localTitle ^ nationalTitle,3266^CP PULMONARY FUNCTION TEST,TIU Note (#.06),"8925: ien, Document Type (#.01)"
"          ,content",text,body of note text,TIU Note (#.06),8925: Report Text (#2)
encounter,P:9000010,135790,TIU Note (#.06),8925: Visit (#.03)
facility,string [station# ^ name],660^SALT LAKE HCS,TIU Note (#.06),8925: 1211 >> 44:3
hasImages,boolean,1,Image (#.1),
id,variable pointer,"7;MDD(702,",internal entry number,
interpretation,text,ABNORMAL,TIU Note (#.06),8925: Procedure Summary Code (#70201)
location,[P:44] code^name,195^CARDIOLOGY,TIU Note (#.06),8925: Visit Location (#1211)
name,string,PULMONARY FUNCTION TEST,CP Definition (#.04),
order,code [P:100] ^ name,15555^PULMONARY FUNCTION TEST,Consult Number (#.05),"123: OE/RR File Number (#.03), Item Ordered (#.1)"
provider,[P:200] code ^ name,"983^PROVIDER,ONE",TIU Note (#.06),8925: Author/Dictator (#1202)
requested,date ordered,3050203.0937,Consult Number (#.05),123: File Entry Date (#.01)
status,text,COMPLETE,Consult Number (#.05),123: CPRS Status (#8)
type,[CPT] code ^ name,94150^VITAL CAPACITY TEST,CP Definition (#.04),
,,,,
,,,,
