observation,^VPRDMDC,,Obs file #704.117,
Element,VistA data type/values,VistA examples,field name (no.),pointed-to-file: field name (no.)
comment,string,test reading,Comment (#.4),
entered,date.time,3040319.1039,Entered Date_Time (#.25),
facility,string [station# ^ name],660^SALT LAKE HCS,Hospital Location ID (#.04),"44: Institution (#3), or Division (#3.5) > 40.8: Institution File Pointer (#.07)"
id,string [GUID],2509,Obs ID (#.01),
location,code^name,4^GENERAL MEDICINE,Hospital Location ID (#.04),
name,string [P:704.101 name],BLOOD PRESSURE,Term ID (#.07),
observed,date.time,3040319.1034,Observed Date_Time (#.05),
range,0:Unknown; 1:Normal; 2:Out Of Bounds Low; 3:Out Of Bounds High; 4:Low; 5:High,Normal,Range (#.28),
status,0:Unverified; 1:Verified; 2:Archived; 3:Purged; 4:Corrected; 5:Removed,Verified,Status (#.09),
value,string,120/85,Svalue (#.1),
vuid,number,4500634,Term ID (#.07),
,,,,
,,,Obs_Qualifier #704.118,
bodySite,code^name,4688657^L ARM,Qualifier ID (#.02),
method,code^name,4688688^CUFF-MANUAL,Qualifier ID (#.02),
position,code^name,4688703^SITTING,Qualifier ID (#.02),
product,code^name, ^WATER,Qualifier ID (#.02),
quality,code^name,4688634^ACTUAL,Qualifier ID (#.02),
units,string,F,Qualifier ID (#.02),
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
