consult,^VPRDGMRC,,Request/Consultation file #123,
Attribute,VistA data type/values,VistA examples,field name (no.),subfile or pointed-to-file: field name (no.)
document [m],[P:8925] id ^ localTitle ^ nationalTitle,3150^AUDIOLOGY - HEARING LOSS CONSULT,TIU Result Narrative (#16),
"          ,content",text,body of note text,TIU Result Narrative (#16),
facility,string [station# ^ name],660^SALT LAKE HCS,Ordering Facility (#.05),
id,P:123,9876,internal entry number,
name,text,AUDIOLOGY OUTPATIENT Cons,"To Service (#1), Procedure/Request Type (#4), Request Type (#13)",
orderID,P:100,15555,OE/RR File Number (#.03),
procedure,text [P:123.3],Consult,Procedure/Request Type (#4),
provider,[P:200] code^name,"983^PROVIDER,ONE",Sending Provider (#10),
requested,date.time ordered,3040402.011452,Date of Request (#3),
result,text,SIGNIFICANT FINDINGS,Significant Findings (#15),
service,text [P:123.5],AUDIOLOGY OUTPATIENT,To Service (#1),
status,text [P:100.01],COMPLETE,CPRS Status (#8),
type,text,C,Request Type (#13),
,,,,
