flag,^VPRDGPF,,PRF Assignment file #26.13,
Attribute,VistA data type/values,VistA examples,field name (no.),subfile or pointed-to-file: field name (no.)
category,string,II (LOCAL),Flag (#.02),
content,text,body of note text,Assignment Narrative (#1),
id,DFN ~ V-pointer,"229~1;DGPF(26.11,","Patient Name (#.01), Flag (#.02)",
name,string,WANDERER,Flag (#.02),
origSite,string [station# ^ name],660^SALT LAKE HCS,Originating Site (#.05),
ownSite,string [station# ^ name],660^SALT LAKE HCS,Owner Site (#.04),
reviewDue,date.time to review,3110801,Review Date (#.06),
type,string [P:26.16 name],OTHER,Flag (#.02),26.11: .03 or 26.15:.03 >> 26.16
,,,,
,,,,
,,,PRF Assignment History file #26.14,
approvedBy,[P:200] code ^ name,"20012^VEHU,TEN",Approved By (#.05),
assigned,date.time entered,3110602.11263,Date/Time (#.02),
document,[P:8925] code ^ name,"1354^PATIENT RECORD FLAG CATEGORY II - RISK, WANDERING",TIU PN Link (#.06),
,,,,
