healthFactor,^VPRDPXHF,,V Health Factors file #9000010.23,
Attribute,VistA data type/values,VistA examples,field name (no.),subfile or pointed-to-file: field name (no.)
category,[P:9999999.64] code ^ name,6^TOBACCO,Health Factor (#.01),9999999.64: Category (#.03)
comment,string,PATIENT TRIED TO QUIT,Comments (#81101),
encounter,P:9000010,4596,Visit (#.03),
facility,string [station# ^ name],660^SALT LAKE HCS,Visit (#.03),9000010: Loc. Of Encounter (#.06)
id,P:9000010.23,9876,internal entry number,
name,string [P:9999999.64 name],CURRENT SMOKER,Health Factor (#.01),9999999.64: Factor (#.01)
recorded,date.time entered,3040402.011452,Visit (#.03),9000010: Visit D/T (#.01)
severity,string,MODERATE,Level/Severity (#.04),
,,,,
,,,,
