immunization,^VPRDPXIM,,V Immunization file #9000010.11,
Attribute,VistA data type/values,VistA examples,field name (no.),subfile or pointed-to-file: field name (no.)
administered,date.time,3080213.104,Visit (#.03),
comment,string,No problems,Comments (#81101),
contraindicated,boolean [1:YES; 0:NO],0,Contraindicated (#.07),
cpt,[P:81] code ^ name,90730^HEPATITIS A VACCINE,Immunization (#.01),PCE Code Mapping file #811.1: Related Supporting File Entry (#.02)
cvx,string,133,Immunization (#.01),CVX Code (#.03)
encounter,P:9000010,4596,Visit (#.03),
facility,string [station# ^ name],660^SALT LAKE HCS,Visit (#.03),Loc. of Encounter (#.06)
id,P:9000010.11,3880,internal entry number,
location,string [P:44 name],BLUE TEAM,Visit (#.03),Hospital Location (#.22)
name,string [P:9999999.14 name],HEPATITIS A,Immunization (#.01),Name (#.01)
provider,[P:200] code ^ name,"1234^WELBY,MARCUS",Encounter Provider (#1204),
reaction,string,FEVER,Reaction (#.06),
series,string,COMPLETE,Series (#.04),
,,,,
