med,^VPRDPS,,Prescription file #52,,Non-VA Meds sub-file #55.05,
Element,VistA data type/values,VistA examples,field name (no.),subfile or pointed-to-file: field name (no.),field name (no.),subfile or pointed-to-file: field name (no.)
currentProvider,[P:200] code ^ name ^ taxonomyCode ^ providerType ^ classification ^ specialization,"10^BUECHLER,MELANIE","Provider (#4), or Refill (#52)",Provider (#17),,
daysSupply,number,30,Days Supply (#8),,,
dose [m],dose ^ units ^ unitsPerDose ^ noun ^ route ^ schedule ^ duration ^ conjunction ^ doseStart ^ doseStop,10^MG^2^TABLETS^PO^QD^7D^A^3040801^3040808.24^7096544,Medication Instructions (#113) subfile,,,
   dose,string,10,Dosage Ordered (#.01),,Dosage (#2),
   conjunction,A:AND; T:THEN; E:EXCEPT,A,Conjunction (#5),,,
   doseStart,date.time,3040801,"Duration (#4), Conjuntion (#5), Issue Date",,,
   doseStop,date.time,3040808.24,"Duration (#4), Conjuntion (#5), Issue Date",,,
   duration,string,7D,Duration (#4),,Medication Route (#3),
   noun,string,TABLETS,Noun (#3),,Schedule (#4),
   order,,7096544,,,,
   route,string [P:51.2 abbreviation],PO,Route (#6),,,
   schedule,string [P:51.1 name/abbreviation],QD,Schedule (#7),,,
   units,string,MG,Units (#2),,,
   unitsPerDose,number [of units per dose],2,Dispense Units Per Dose (#1),,,
expires,date.time,3050731,Expiration Date (#26),,,
facility,string [station# ^ name],660^SALT LAKE HCS,Clinic (#5),"Institution (#3), or Division (#3.5) file #40.8: Institution File Pointer (#.07)",Clinic (#13),
fill [m],"fillDate ^ fillRouting ^ releaseDate ^ fillQuantity ^ fillDaysSupply [^1, if partial]",3040801^W^3040801^5^5,Refill (#52) subfile,"Refill Date (#.01), Mail/Window (#2), Released Date/Time (#17), Qty (#1), Days Supply (#1.1)",,
,,, or Partial Date (#60) subfile,"Partial Date (#.01), Mail/Window (#2), Released Date/Time (#8), Qty (#.04), Days Supply (#.041)",,
fillsAllowed,number,11,# of Refills (#9),,,
fillCost,number,5.25,Unit Price of Drug (#17),,,
fillsRemaining,number,11,"# of Refills (#9), Refill (#52)",,,
form,string [P:50.606 name],TAB,Pharmacy Orderable Item (#39.2),Dosage Form (#.02) > Dosage Form file #50.606: Name (#.01),Orderable Item (#.01),
id,P:100,7096543,Placer Order # (#39.3),,Order Number (#7),
IMO,boolean [1:YES],1,Clinic (#5),,,
ivLimit,string,1 dose,,,,
lastFilled,date,3040801,Last Dispensed Date (#101),,,
location,[P:44] code ^ name,23^GENERAL MEDICINE,Clinic (#5),,Clinic (#13),
name,string [P:50.7 name],WARFARIN TAB,Pharmacy Orderable Item (#39.2),"Name (#.01), Dosage Form (#.02)",Orderable Item (#.01),
ordered,date.time,3040801,Login Date (#21),,Documented Date (#11),
orderID,P:100,7096543,Placer Order # (#39.3),,Order Number (#7),
orderingProvider,[P:200] code ^ name ^ taxonomyCode ^ providerType ^ classification ^ specialization,"10^BUECHLER,MELANIE",Provider (#4),,Documented By (#12),
parent,P:100,7096541,Placer Order # (#39.3),100: Parent (#36),,
pharmacist,[P:200] code ^ name,"20144^PHARMACIST,THIRTY",Finishing Person (#38),,,
prescription,string,98765A,Rx# (#.01),,,
product [m],code ^ name ^  ^ role ^ concentration ^ order,2653^WARFARIN NA 10MG TAB^^D^^7096544,Drug (#6),Generic Name (#.01),Dispense Drug (#1),Generic Name (#.01)
",vaGeneric",code ^ name ^ vuid,865^WARFARIN^4019972,Drug (#6),"National Drug File Entry (#20) file #50.6: Name (#.01), VUID (#99.99)",Dispense Drug (#1),"National Drug File Entry (#20) file #50.6: Name (#.01), VUID (#99.99)"
",vaProduct",code ^ name ^ vuid,4654^WARFARIN NA 10MG TAB^4005201,Drug (#6),"PSNDF VA Product Name Entry (#22) file #50.68: Name (#.01), VUID (#99.99)",Dispense Drug (#1),"PSNDF VA Product Name Entry (#22) file #50.68: Name (#.01), VUID (#99.99)"
",class",code ^ name ^ vuid,BL110^ANTICOAGULANTS^4021557,Drug (#6),National Drug Class (#25) file #50.605: Classification (#1),Dispense Drug (#1),National Drug Class (#25) file #50.605: Classification (#1)
" ,ordItem",code ^ name,2551^WARFARIN INJ,Pharmacy Orderable Item (#39.2),"Name (#.01), Dosage Form (#.02)",,
ptInstructions,string,take with food,Patient Instructions (#114),,,
quantity,number,30,Qty (#7),,,
rate,string,125 ml/hr,,,,
routing,W:WINDOW; M:MAIL; C:ADMINISTERED IN CLINIC,W,Mail/Window (#11),,,
sig,text,TAKE 1 TAB BY MOUTH EVERY DAY,Sig (#10) or Sig1 (#10.2),,"Dosage (#2), Med Route (#3), Schedule (#4)",
start,date[.time],3040801,Issue Date (#1),,Start Date (#8),
status,string,"active, hold, historical, not active",Status (#100),,Status (#5),
stop,date[.time],3050731,Expiration Date (#26) or Cancel Date (#26.1),,Discontinued Date (#6),
supply,boolean [1:YES],1,Pharmacy Orderable Item (#39.2),Supply (#.09),,
type,OTC; Prescription,Prescription,,,,
vaStatus,string,Active,Status (#100),,Status (#5),
vaType,I:INPATIENT; O:OUTPATIENT; N:NON-VA; V:IV FLUID,O,,,,
,,,,,,
medID,number_file;package where file;pkg is:,6789R;O,internal entry number,,,
,   R;O = Prescription file #52,,,,,
,   P;O = Pending OP Orders file #52.41 ,,,,,
,   N;O = Non-VA meds subfile #55.05,,,,,
,   P;I = Non-Verified Orders file #53.1,,,,,
,   U;I = Unit Dose orders subfile #55.06,,,,,
,   V;I = IV orders subfile #55.01,,,,,
