order,^VPRDOR,^VPRDOR,Orders file #100,
Attribute,VistA data type/values,VistA examples,field name (no.),subfile or pointed-to-file: field name (no.)
content,text,CHEM 7 BLOOD  SERUM SP LB #17895,Order Actions (#.8),Order Text (#.1)
entered,date.time entered,3110705.1353,When Entered (#4),
facility,string [station# ^ name],660^SALT LAKE HCS,Patient Location (#6),"Institution (#3), or Division (#3.5) file #40.8: Institution File Pointer (#.07)"
group,string [P:100.98 short name],CH,To (#23),
id,P:100 ;action ien,33825;1,internal entry numbers,
location,[P:44] code^name,64^AUDIOLOGY,Patient Location (#6),
name,string [P:101.43] code  ^ name,375^CHEM 7,Orderable Items (#.1),Orderable Item (#.01)
provider,[P:200] code ^ name ^ taxonomyCode ^ providerType ^ classification ^ specialization,"20012^VEHU,TEN^203B00000N^Physicians (M.D. and D.O.)^Physician/Osteopath^",Current Provider (#1),
service,text,LR,Package (#12),9.4: Prefix (#1)
start,date.time entered,3110705.142055,Start Date (#21),
status,string [P:100.01] code ^name^VUID,comp^COMPLETE^4501088,Status (#5),
stop,date.time entered,3110705.1424,Stop Date (#22),
type,string [P:100.98 mixed name],Chemistry,To (#23),
,,,,
,,,Order Acknowledgment file #102.4,
acknowledgement [m],code^name^date,"20012^VEHU,TEN^3110705.1531","Provider (#2), Acknowledged (#3)",
,,,,
