panel,^VPRDLRO,,Lab Order Entry file #69,
Element,VistA data type/values,VistA examples,field name (no.),subfile or pointed-to-file: field name (no.)
id,string,1732;3040609;1;1,Specimen # (#1),"Order # (#9.5), ien's"
order,code [P:100] ^ name [ordered test/panel],10003518^CHEM 7,Specimen # (#1); Test (#6),"OERR Internal File # (#6), Test/Procedure (#.01)"
,,,,
,,,"Lab Data file #63; Chem, Hem, etc. subfile #63.04",
collected,date.time,3040609.1245,Date/Time Specimen Taken (#.01),
comment,string,call Dr.,Comment (#.99),
facility,string [station# ^ name],660^SALT LAKE HCS,Accessioning Institution (#.112),
groupName,string [accession number],CH 09 12,Accession (#.06),
resulted,date.time,3040609.1432,Date Report Completed (#.03),
sample,string [P:62 name],BLOOD,Specimen Type (#.05),Collection Sample (#4.1)
specimen,string [P:61] code ^ name,0X500^SERUM,Specimen Type (#.05),"SNOMED Code (#2), Name (#.01)"
status,string,completed,Date Report Completed (#.03),
type,"string [CH, MI]",CH,global subscript,
value [m],id^test^result^interpretation^units^low^high^loinc^vuid,CH;6959389.875453;2^SODIUM^138^L*^meq/L^135^145^2951-2^4656526,,
  id,string,CH;6959389.875453;2,internal entry number string,
  interpretation,"H or L, and optionally ""*"" if critical",L*,test name node,
  loinc,string [LOINC = P:95.3 - check digit],2951-2,test name node,"95.3: Code (#.01), Check Digit (#15)"
  result,string,3.8,test name node,
  vuid,number,4656526,test name node,95.3: VUID (#99.99)
,,,,
,,,Lab Test file #60,
  high,string,145,Site/Specimen (#100),Reference High (#2)
  low,string,135,Site/Specimen (#100),Reference Low (#1)
  test,string [P:60 name],SODIUM,Name (#.01),
  units,string,meq/L,Site/Specimen (#100),Units (#6)
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
