document,^VPRDTIU,,TIU Document file #8925,,Rad/Nuc Med Patient file #70,,"Lab Data file #63;  Pathology subfiles #63.08, #63.09",
Attribute,VistA data type/values,VistA examples,field name (no.),subfile or pointed-to-file: field name (no.),[sub-file:] field name (no.),pointed-to-file: field name (no.),field name (no.),pointed-to-file: field name (no.)
category,string [P:8925.1 class],"PN, DS, CR, CP, SR, RA, LR, C, W, A, D",Document Type (#.01),8925.1:.01,RA,,LR,
clinician [m],[P:200] code ^ name ^ role ^ dateTime ^ signature block ^ taxonomyCode ^ providerType ^ classification ^ specialization,"1373^MARKHAM,RUTH^S^3100511.1155^Ruth Markham","Author/Dictator (#1202), Signed By (#1502), Cosigned By (#1508)",,"70.03: Primary Interpreting Staff (#15), Report Text (#17)","74: Verified Date (#7), Verifying Physician (#9)","Pathologist (#.02), Report Released D/T (#.11), Released By (#.13)",
  role,"string [Author, Signer, or Cosigner]",S,,,,,,
content,text,body of note text,Report Text (#2),,70.03: Report Text (#17),"74: Report Text (#200), Impression Text(#300)",,
documentClass,string [P:8925.1 name],PROGRESS NOTES,Parent Document Type (#.04),8925.1:.01,,,LR LABORATORY REPORTS,
encounter,P:9000010,4598,Visit (#.03),,70.03: Visit (#27),,"Patient Location (#.08), D/T Taken (#.01)",
facility,string [station# ^ name],660^SALT LAKE HCS,Hospital Location (#1205),,70.02: Imaging Location (#4),,Patient Location (#.08),44: Institution (#3)
id,P:8925,9876,internal entry number,,internal entry numbers,,internal entry numbers,
,,,,,,,,
localTitle,string [P:8925.1 name],HISTORY & PHYSICAL,Document Type (#.01),8925.1:.01,70.03: Procedure (#2),,LR [global subscript] REPORT,
loinc,string [LOINC code of national title class],18842-5,,,,,,
nationalTitle,[P:8926.1] code^name,4694875^PRIMARY CARE H & P NOTE,Document Type (#.01),"8925.1:1501 >> 8926.1:.01,99.99",4695068^RADIOLOGY REPORT,,4697105^LABORATORY NOTE,
nationalTitleRole,[P:8926.3] code^name,4696140^PHYSICIAN,Document Type (#.01),"8925.1:1501 >> 8926.1:.05 >> 8926.3:.01,99.99",,,,
nationalTitleService,[P:8926.5] code^name,4696236^HISTORY & PHYSICAL,Document Type (#.01),"8925.1:1501 >> 8926.1:.07 >> 8926.5:.01,99.99",,,,
nationalTitleSetting,[P:8926.4] code^name,4696271^OUTPATIENT,Document Type (#.01),"8925.1:1501 >> 8926.1:.06 >> 8926.4:.01,99.99",,,,
nationalTitleSubject,[P:8926.2] code^name,4693349^PRIMARY CARE,Document Type (#.01),"8925.1:1501 >> 8926.1:.04 >> 8926.2:.01,99.99",4693357^RADIOLOGY,,4697104^LABORATORY,
nationalTitleType,[P:8926.6] code^name,4696120^NOTE,Document Type (#.01),"8925.1:1501 >> 8926.1:.08 >> 8926.6:.01,99.99",4696123^REPORT,,4696120^NOTE,
parent,P:8925,9875,ID Parent (#2101),,,,,
referenceDateTime,date.time,2990827.1146,Reference Date (#1301),,70.02: Exam Date (#.01),,Date/Time Specimen Taken (#.01),
status,string [P:8925.6 name],completed,Status (#.05),,70.03: Report Text (#17),74: Report Status (#5),COMPLETED,
subject,string,DNR,Subject (#1701),,,,,
type,string [P:8925.1 class],"PN, DS, CR, CP, SR, RA, LR, CW",Document Type (#.01),8925.1:.01,RA,,LR,
,,,,,,,,
,,,,,,,,
,,,TIU External Data Link file #8925.91,,,,,
,,,field name (no.),,,,,
images,number,3,Image (#.02),,,,,
,,,,,,,,
