surgery,^VPRDSR,,Surgery file #130,
Attribute,VistA data type/values,VistA examples,field name (no.),subfile or pointed-to-file: field name (no.)
category,string,SR,,
dateTime,date performed,2980818,Date of Operation (#.09),
document [m],[P:8925] id ^ localTitle ^ nationalTitle,23567^OPERATION REPORT^OPERATIVE REPORT,"TIU Operative Summary (#1000), TIU Nurse IntraOp Report (#1001), TIU Procedure Report Non-OR (#1002), TIU Anesthesia Report (#1003)",
"          ,content",text,body of note text,,
encounter,P:9000010,135790,Visit (#.015),
facility,string [station# ^ name],660^SALT LAKE HCS,Division (#50),
id,P:130,9876,internal entry number,
name,text,HIP REPLACEMENT,Principal Procedure (#26),
opReport,[P:8925] id ^ localTitle ^ nationalTitle,23567^OPERATION REPORT^OPERATIVE REPORT,"TIU Operative Summary (#1000), or TIU Procedure Report Non-OR (#1002) if non-OR",
provider,[P:200] code ^ name = surgeon,"13^ANDERSON,CURTIS","Surgeon (#.14), or Provider (#123) if non-OR",
status,"text [completed, aborted]",COMPLETED,calculated from a variety of fields,
,,,,
,,,Surgery Procedure/Diagnosis Codes file #136,
modifier [m],[CPT modifier] code ^ name,GC^RESIDENT/TEACHING PHYS SERV,"Prin. Procedure CPT Modifiers (#1) subfile, #.01","81.3: Modifier (#.01), Name (#.02)"
otherProcedure [m],[CPT] code ^ name,27255^REPAIR OF HIP DISLOCATION,"Other Procedure Codes (#3) subfile, #.01","81: Code (#.01), Description (#50)"
type,[CPT] code ^ name,27299^PELVIS/HIP JOINT SURGERY,Principal Procedure Code (#.02),"81: Code (#.01), Description (#50)"
