visit,^VPRDVSIT,,Visit file #9000010,
Attribute,VistA data type/values,VistA examples,field name (no.),subfile or pointed-to-file: field name (no.)
creditStopCode,AMIS code ^ name,485^Non-Workload,Hospital Location (#.22),44: Credit Stop Code (#2503)
dateTime,date.time,2990827.1131,Visit/Admit Date&Time (#.01),
facility,string [station# ^ name],660^SALT LAKE HCS,Loc. Of Encounter (#.06),
id,P:9000010,3880,internal entry number,
location,string [P:44 name],BLUE TEAM,Hospital Location (#.22),
patientClass,AMB:Ambulatory; IMP:Inpatient; EMER:Emergency,AMB,Patient Status In/Out (#15002),
service,"M:MEDICINE;S:SURGERY;P:PSYCHIATRY;NH:NHCU;NE:NEUROLOGY;I:INTERMEDIATE MED;R:REHAB MEDICINE;SCI:SPINAL CORD INJURY;D:DOMICILIARY;B:BLIND REHAB;RE:RESPITE CARE; [42.4,3]",MEDICINE,Hospital Location (#.22),44:9.5 >> 45.7:1 >>42.4:3
serviceCategory,"A:Ambulatory; I:Inpatient Visit; H:Hospitalization; T:Telecommunications; E:Event (Historical); X:Ancillary Package; D:Inpatient Data [9000010,.07]",A^AMBULATORY,Service Category (#.07),
stopCode,AMIS code ^ name,29^Cardiology,DSS ID (#.08),
visitString,location;date.time;type,12;2990827.1131;A,"Hospital Location (#.22), Visit/Admit Date&Time (#.01), Service Category (#.07)",
,,,,
,,,V CPT file #9000010.18,
cpt [m],[CPT] code ^ Short Name,82950^GLUCOSE TEST,CPT (#.01),
type,CPT [992xx] ^ Short Name [or category+location],99244^Office Consultation,CPT (#.01),
,,,,
,,,V POV file #9000010.07,
icd [m],[ICD] code ^ description ^ narrative ^ ranking,250.00^DM II^Diabetes^P,"POV (#.01), Provider Narrative (#.04), Primary/Secondary (#.12)","80: Code (#.01), Description (#10)"
reason,[ICD] code ^ description ^ narrative,250.00^DM II^Diabetes,"POV (#.01), Provider Narrative (#.04), Primary/Secondary (#.12)","80: Code (#.01), Description (#10)"
,,,,
,,,V Provider (#9000010.06),
provider [m],"[P:200] code ^ name ^ role [P,S] ^ primary [bit] ^ taxonomyCode ^ providerType ^ classification ^ specialization","1234^WELBY,MARCUS^P^1","Provider (#.01), Primary/Secondary (#.04)",
,,,,
,,,TIU Document file #8925,
document [m],[P:8925] id ^ localTitle ^ nationalTitle,13579^Discharge Summary^Discharge Summary,Document Type (#.01),"8925.1 : .01, 1501 >> 8926.1:.01"
"            ,content",text,body of note text,,
,,,,
For admissions only:,,,,
,,,Patient Movement file #405,
arrivalDateTime,date.time [admission],2990827.1131,Date/Time (#.01),
departureDateTime,date.time [discharge],2990829.12,Discharge/Check-Out Movement (#.17),
provider [m],"[P:200] code ^ name ^ role [P,A] ^ primary [bit] ^ taxonomyCode ^ providerType ^ classification ^ specialization","1234^WELBY,MARCUS^P^1","Primary Care Physician (#.08), Attending Physician (#.19)",
roomBed,string ,A-1,Room-Bed (#.07),
specialty,string,CARDIOLOGY,Facility Treating Specialty (#.09),
,,,,
