vital,^VPRDGMV,,GMRV Vital Measurement file #120.5,
Element,VistA data type/values,VistA examples,field name (no.),pointed-to-file: field name (no.)
entered,date.time,3040319.1039,Date/Time Vitals Entered (#.04),
facility,string [station# ^ name],660^SALT LAKE HCS,Hospital Location (#.05),"44: Institution (#3), or Division (#3.5) > 40.8: Institution File Pointer (#.07)"
location,code^name,4^GENERAL MEDICINE,Hospital Location (#.05),
measurement [m],id^vuid^name^value^units^metricValue^metricUnits^high^low^bmi,2509^4500643^101^F^38.8^C^102^95,,
id,P:120.5,2509,internal entry number,
vuid,number,4500634,Vital Type (#.03),GMRV Vital Type file #120.51: VUID (#99.99)
name,string [P:120.51 name],TEMPERATURE,Vital Type (#.03),GMRV Vital Type file #120.51: Name (#.01)
value,string,101,Rate (#1.2),
units,string,F,Rate (#1.2),
metricvalue,text,38.8,Rate (#1.2) >> metric conversion,
metricUnits,string,C,Rate (#1.2) >> metric conversion,
high,number,102,Vital Type (#.03),GMRV Vitals Parameters file #120.57: Abnormal name - High fields
low,number,95,Vital Type (#.03),GMRV Vitals Parameters file #120.57: Abnormal name - Low fields
bmi,number,,"Vital Type (#.03), Rate (#1.2)",returned with Weight only [calculated]
"          ,qualifier [m]",[P:120.52] name^vuid,ORAL^4500642,Qualifier (#5),"Qualifier (#.01) file #120.52: Qualifier (#.01), VUID (#99.99)"
removed [m],reason [string],INCORRECT READING,Reason Entered in Error (#4),
taken,date.time,3040319.1034,Date/Time Vitals Taken (#.01),
,,,,
